GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
32,Nevada,NV,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,64.73658302116986
33,New Hampshire,NH,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,40.98870819005721
34,New Jersey,NJ,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.20571774386404
35,New Mexico,NM,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,68.25572196565601
36,New York,NY,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.37435299567392
37,North Carolina,NC,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.61844850470901
38,North Dakota,ND,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,11.490505979771513
39,Ohio,OH,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,36.61334213745855
40,Oklahoma,OK,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,44.553169080618595
41,Oregon,OR,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,67.10001739056136
42,Pennsylvania,PA,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,32.66619655645067
44,Rhode Island,RI,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,33.575649110158395
45,South Carolina,SC,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.44655877211845
46,South Dakota,SD,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,47.28434576683981
47,Tennessee,TN,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,55.834111632470886
48,Texas,TX,2023,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.17456940339473
