GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
51,Virginia,VA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.148843865527056
53,Washington,WA,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,74.12997656831783
54,West Virginia,WV,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.437959408996974
55,Wisconsin,WI,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,57.79846039225273
56,Wyoming,WY,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.58059569182032
72,Puerto Rico,PR,2024,index_eq_communal_living,Communal Living Index (Equity),scorecard_index,CL,equity,scorecard,2,0,NA
000,United States,USA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.04549180673156
01,Alabama,AL,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.278410250460254
02,Alaska,AK,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,16.377629043514368
04,Arizona,AZ,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,21.45822721760515
05,Arkansas,AR,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,27.429396294495476
06,California,CA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,45.23539187228616
08,Colorado,CO,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,63.612352261125196
09,Connecticut,CT,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,46.63583226261743
10,Delaware,DE,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,31.228564665125866
11,District of Columbia,DC,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,75.09804112582734
12,Florida,FL,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,59.5520784744639
