GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_communal_living,index_eq_institutional_living,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_work_economic,index_eq_labor,index_eq_poverty,index_eq_adaparc,index_rel_community_living,index_rel_communal_living,index_rel_institutional_living,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_tech,index_rel_work_economic,index_rel_labor,index_rel_poverty,index_rel_adaparc,index_adaparc
20,Kansas,KS,2023,60.41099976006048,34.44840359697707,86.37359592314388,38.7313582130292,33.951806191658555,28.89130573792905,63.099403299696625,28.982917622832577,59.50369132311759,62.82137378552768,56.1860088607075,52.882016432069086,22.325228425047666,28.620081178708773,16.030375671386548,45.7021394104062,36.017951283856625,65.64177481064831,46.429542125238136,34.719289421881705,63.72158144983103,81.736008503308625,45.70715439635343,43.916316428428296,48.39916643024869
21,Kentucky,KY,2023,49.20177924255538,48.66489638858631,49.73866209652446,46.248711808187906,33.71958112172443,70.32755137544751,39.35919772324275,41.588517012336915,68.44534120521774,59.6428358719475,77.247846538488,54.63194408532035,59.62355408327028,79.11778510595167,40.12932306058889,36.10092661446846,28.311168987213417,9.244535700072538,69.25330673804955,37.59469503253836,18.586450642445996,13.053377371165665,24.11952391372633,38.10364378006158,46.367793932690965
22,Louisiana,LA,2023,44.88379400901518,53.60999391210789,36.15759410592248,55.073069639562135,36.099138332022875,82.33343588625043,43.40598750675738,58.45371683321787,65.0179159463959,67.33554199497041,62.700289897821406,54.99159319832441,56.83250012359697,79.30086926401833,34.36413098317561,29.45795471531388,25.755581027833735,11.813752404168214,48.89075014193341,31.37173528732018,20.58688424742085,16.169343286259092,25.00442520858261,35.6257796954439,45.30868644688415
25,Massachusetts,MA,2023,43.22201790102918,44.61639296552693,41.82764283653144,39.54275585458345,43.135026686566754,43.33514189725963,53.82906173622504,17.871793098282343,40.73669508363656,35.17728673685251,46.29610343042061,41.167156279749726,41.11560539615206,16.541114622063844,65.69009617024028,59.104133284791445,82.87096472086881,60.744588442261325,61.22628852977967,31.574691446255972,54.07585194943832,48.09635244469763,60.05535145417902,51.431863543460615,46.29950991160517
24,Maryland,MD,2023,55.93757041810717,54.12922144999136,57.74591938622298,50.196035632609664,58.92059302292748,41.869655564910296,48.67603894659212,51.317854996008776,34.79999229908133,34.992898889899564,34.6070857082631,46.97786611659939,48.58893029326216,49.82307704121331,47.35478354531101,67.49728149439935,72.48418056338807,72.9911892920835,54.5404056743314,69.9733504477944,75.17753989069512,66.42198259375193,83.9330971876383,63.75458389278555,55.36622500469247
23,Maine,ME,2023,44.77650477142943,37.0508964249208,52.50211311793805,40.21262188268971,25.759706884862855,37.500347461543456,50.36017242693828,47.23026075741424,57.30902677478358,59.346524927149986,55.27152862241718,47.432717809634234,49.430991117678616,39.06739801948866,59.79458421586857,57.982950732745714,40.8517329217662,70.86094460090517,67.23650192364578,52.9826234846657,33.45600808883654,25.84383849590531,41.06817768176777,46.95664997975362,47.19468389469392
26,Michigan,MI,2023,55.53628012644902,57.42612854568971,53.646431707208336,48.66576871318135,45.170545382063274,51.37801780801148,52.74317166454696,45.371339998103686,59.37192093079507,65.58178861713083,53.16205324445932,54.52465659014181,58.55861296278981,65.60719499695256,51.51003092862705,52.30126568496461,39.33607842917091,39.295933172428086,76.7599494655009,53.81310167275857,27.184440725928557,23.339071663647232,31.02980978820988,46.01477312456099,50.2697148573514
27,Minnesota,MN,2023,47.02346856991488,50.51709093978997,43.529846200039785,35.05303499715181,51.86626893487288,27.37566099560659,53.7825785166066,7.187631541521185,38.385182774418695,42.221786014329936,34.54857953450745,40.153895447161794,32.59586761028846,4.350975094559426,60.84076012601749,61.01781243099518,65.08355722668033,74.37810098907505,73.61592059271645,30.99367091550887,68.34282980018588,87.06587308701248,49.61978651335927,53.98550328048984,47.06969936382582
29,Missouri,MO,2023,45.89792438197183,32.93461126670363,58.86123749724004,41.526555716593975,38.27290360194977,50.93403097344503,57.90576664955598,18.99352164142512,60.111158894572895,53.76824009076218,66.45407769838361,49.17854633104624,51.51364573896235,63.04995285409305,39.97733862383165,34.958505615088114,35.74233275048176,35.12573190881598,44.5794826183534,24.386475182701304,37.16707593257088,35.113011868387595,39.22113999675416,41.21307576220712,45.19581104662668
28,Mississippi,MS,2023,41.36188769810549,46.82070593048661,35.90306946572438,50.255060382693486,33.70035257969502,87.19276428571497,34.3521988260729,45.774925839291065,70.34648576615739,66.61182171674133,74.08114981557344,53.987811282318795,58.971933011879855,77.87068131534846,40.07318470841124,23.598686216726698,16.72415296161077,8.079192470923951,44.01635587053516,25.5750435638369,12.40691240420153,8.502715667130044,16.311109141273015,31.659177210936026,42.82349424662741
30,Montana,MT,2023,51.04293892849692,52.344627752222294,49.74125010477155,46.87899028358777,48.05548197455002,45.36371008782846,51.976354614066814,42.12041445790579,49.45256180409734,52.98228751502534,45.92283609316934,49.12483033872735,49.020743349234806,46.683384590992425,51.35810210747718,56.99008712663708,38.93487418855418,80.31279747283739,65.89310035170818,42.81957649344855,58.91317571915749,76.96494285668268,40.86140858163231,54.974668731676466,52.04974953520191
37,North Carolina,NC,2023,48.28609884073504,50.61844850470901,45.95374917676108,56.150999722045995,62.38823568082775,49.66440363068536,45.823050149656105,66.72830942701478,53.1475393537247,46.591706058194376,59.70337264925503,52.52821263883525,60.91256338386336,66.21154428606616,55.61358248166055,44.41029159391939,31.989648493971643,38.03988376030257,49.59807608015189,58.013558041251464,34.55969739818887,24.942728168430214,44.17666662794751,46.6275174586572,49.577865048746226
38,North Dakota,ND,2023,45.12681269314683,11.490505979771513,78.76311940652215,37.80734368343734,33.274409539294346,45.463195764496554,55.02407768381833,17.467691746140137,54.23025013262026,44.752142836671815,63.70835742856871,45.72146883640148,29.028417019733276,23.34711342427106,34.709720615195494,40.79580569432593,26.740144823017655,60.16165537423109,59.47484457456289,16.80657800549207,82.21882862331577,97.6673878401274,66.77026940650416,50.68101711245833,48.2012429744299
31,Nebraska,NE,2023,45.50538949362467,36.4986851116678,54.51209387558154,42.39952953473385,38.0427502496137,35.114049936240576,65.65382725438099,30.78749069870014,45.769014184399595,43.47122892906868,48.0667994397305,44.55797773758604,50.40012318496531,53.490412554300235,47.30983381563039,46.135515702009755,29.55677186292896,62.661737078850535,48.684571802035656,43.63898206422385,73.58020316138575,93.52835916370398,53.63204715906751,56.70528068278694,50.63162921018649
33,New Hampshire,NH,2023,45.85894847545396,40.98870819005721,50.729188760850704,33.70652177329212,13.200022706324797,35.666051470296274,58.83178127843867,27.12823163810873,42.88234387330936,60.52970892973267,25.234978816886045,40.81593804068515,42.15829089496302,24.352062418646327,59.96451937127971,57.9132021551301,37.969189581993746,81.52187309296092,59.65496690003831,52.50677904552743,70.90890854614813,68.12055490792511,73.69726218437113,56.99346719874709,48.90470261971612
34,New Jersey,NJ,2023,43.94457717558352,53.20571774386404,34.683436607302994,49.6525091444423,50.379006439201525,38.26264549863505,50.40288253813784,59.565502101794785,20.084236113104403,16.157532243027994,24.010939983180812,37.89377414437674,64.62605520910614,64.05305565535438,65.19905476285791,63.6398864529137,76.5090983848485,62.33307224820244,38.94783357487563,76.76954160372823,68.61969992214838,55.76078519325739,81.47861465103938,65.62854719472274,51.76116066954974
35,New Mexico,NM,2023,60.158014315470936,68.25572196565601,52.06030666528587,53.121902309568995,32.68293479245172,62.28798760672332,35.57312501876263,81.9435618203383,63.09340307901104,62.37636034294365,63.810445815078424,58.79110656801699,64.01459712261479,79.29485133410012,48.734342911129474,42.31784019973241,34.82826422873446,37.45020949752133,40.990497087778635,56.00238998489522,22.224678702125697,24.80159380318475,19.647763601066632,42.85237200815763,50.821739288087315
32,Nevada,NV,2023,52.13344801114829,64.73658302116986,39.530313001126714,61.83208438187235,54.80532575358222,52.478121093842375,41.04798875071955,98.99690192934524,50.37322123539346,51.14023250558256,49.60620996520436,54.779584542804706,78.54506599162818,95.07755983314098,62.01257215011537,55.361334550540235,54.776812446079546,46.44228066286787,21.50023322847832,98.7260118647352,67.75693857987345,60.895601924053565,74.61827523569333,67.22111304068062,61.00034879174267
36,New York,NY,2023,45.50134747649259,56.37435299567392,34.628341957311264,43.461056979727005,49.303443769810855,55.42621492911925,43.91725514329986,25.19731407667804,43.591152550414535,29.09331741403947,58.0889876867896,44.184519002211374,40.53642621004938,13.769535733240795,67.30331668685795,52.96801863759093,99.64312974558686,39.19619283662123,50.09305169781894,22.939700270336676,34.8597246776368,23.158939954026923,46.56050940124667,42.788056508425704,43.48628775531854
39,Ohio,OH,2023,51.23191063660286,36.61334213745855,65.85047913574718,43.92583894151471,47.97751162613265,49.019434228854976,53.149852774890384,25.55655713618083,56.96536105763413,56.866007013880434,57.06471510138782,50.70770354525056,44.58114927904256,55.81203994647787,33.35025861160726,39.49350116759338,39.61280583178784,32.60466796712893,53.69003430875345,32.0664965627033,35.53469235546299,39.13187871572751,31.937505995198464,39.869780934032974,45.28874223964176
40,Oklahoma,OK,2023,55.42474964793216,44.553169080618595,66.29633021524572,50.02053722255032,28.921626783089145,53.15513195168828,45.61796234703298,72.3874278083909,64.06693976885128,65.91047390095159,62.22340563675099,56.50407554644459,50.3512356556377,75.36672563501253,25.33574567626287,35.90450335968544,22.84937832903038,37.96475570284253,35.38589938829633,47.41798001857253,45.91912080895657,47.14229547082032,44.69594614709282,44.05828660809323,50.28118107726891
41,Oregon,OR,2023,52.94969790519428,67.10001739056136,38.79937841982719,50.34710910698741,72.1808648541362,30.059315792922938,46.94989595557856,52.19835982531193,51.28719853607525,57.171755204805464,45.40264186734504,51.52800184941898,47.723920983494345,27.39520896237731,68.05263300461138,67.12937471608771,69.23969573845373,72.53976251759804,56.73909707950968,69.99894352878935,51.31567490342145,56.73891821768543,45.89243158915747,55.38965686766784,53.45882935854341
42,Pennsylvania,PA,2023,49.61320240689158,32.66619655645067,66.56020825733249,44.67932720660543,56.19636498946593,40.04473823405505,54.35049686929286,28.12570873360787,54.89567563576203,54.60348508566969,55.18786618585437,49.729401749753016,36.734217903636775,40.03972374304318,33.42871206423036,50.246174776153865,67.30603418507991,40.48256850350637,67.54373787240355,25.652358543625596,40.25805216089329,38.85198454557262,41.664119776213965,42.41281494689465,46.07110834832383
72,Puerto Rico,PR,2023,NA,NA,NA,NA,31.8347182163061,82.21889133522328,39.564781654623744,NA,68.06966750754569,49.9987341444773,86.1406008706141,NA,NA,NA,NA,NA,20.85895058710044,12.022679231393733,39.82078879526727,NA,3.1101603261753987,6.1337263486644265,0.0865943036863707,NA,NA
44,Rhode Island,RI,2023,49.514429241720265,33.575649110158395,65.45320937328214,47.4795146996025,72.62601720876829,59.244190184714654,51.96663197819837,6.081219426728694,52.938136588618526,55.814910537825995,50.06136263941106,49.977360176647096,26.082792670989814,6.900015883038355,45.26556945894128,34.49491296809901,40.8510984315089,36.755756133278666,50.15565932354212,10.217137984066342,51.90211411533998,45.90566679113441,57.898561439545546,37.49327325147627,43.73531671406168
