KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total","$185,119,074,791","$2,112,357,248","$650,133,105","$79,329,061","$1,855,784,207","$31,506,102,474","$4,326,708,011","$3,896,162,811","$356,969,351","$1,128,217,162","$2,861,729,956","$4,119,932,898","$180,377,834","$972,583,233","$3,988,805,440","$102,460,905","$6,770,496,049","$83,031,438","$3,443,828,341","$2,954,138,717","$1,598,298,006","$5,224,574,699","$6,037,278,474","$4,412,520,610","$7,685,811,421","$2,165,076,800","$5,013,788,624","$558,777,018","$1,431,798,518","$854,674,349","$996,000,660","$3,805,052,588","$886,340,443","$20,952,837,387","$3,505,087,006","$782,649,173","$8,224,129,431","$1,791,215,609","$4,743,477,830","$5,843,712,531","$943,772,560","$2,211,787,291","$576,480,745","$1,046,748,175","$4,935,367,996","$1,232,273,229","$659,135,359","$4,122,641,461","$6,603,616,742","$1,936,578,034","$2,611,229,430","$337,194,351"
"Medicaid Spending on Acute Care, Fee-for-Service, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inpatient Hospital","$61,392,548,242","$2,268,118,412","$439,563,916","$718,315,346","$978,768,959","$8,784,313,885","$2,235,572,162","$1,707,128,869","$62,403,860","$229,870,017","$2,975,415,583","$1,545,106,962","$42,294,819","$703,432,438","$2,334,244,510","$116,646,832","$787,878,133","$48,309,165","$325,519,278","$158,347,099","$635,303,745","$768,424,198","$2,476,590,113","$794,947,671","$441,558,233","$376,051,391","$1,529,937,193","$512,084,568","$6,562,657","$549,439,834","$38,068,429","$804,387,480","$310,163,496","$5,683,835,023","$1,666,764,915","$127,917,235","$724,375,234","$1,651,731,284","$338,750,150","$829,570,527","$173,801,211","$580,395,208","$232,837,217","$585,138,146","$7,313,883,016","$469,291,358","$114,621,192","$3,108,175,291","$1,238,625,673","$125,107,234","$599,905,317","$123,053,758"
"Physician, Lab and X-Ray","$10,887,119,426","$808,473,060","$186,889,997","$92,521,854","$408,684,308","$1,502,597,709","$713,912,334","$597,749,510","$9,990,425","$38,965,311","$283,974,974","$427,733,789","$236,958","$197,498,778","$271,626,585","$14,705,501","$293,708,679","$6,905,141","$44,251,284","$22,544,942","$162,990,247","$224,213,588","$303,652,032","$246,370,678","$179,010,218","$163,081,440","$39,111,020","$178,599,027","$924,233","$203,228,941","$4,466,410","$140,522,529","$27,642,535","$432,653,039","$312,031,522","$43,553,202","$169,837,380","$748,441,752","$30,448,901","$46,879,010","$9,538,491","$144,098,683","$114,909,193","$46,225,564","$272,216,324","$132,294,510","$63,048,483","$307,539,063","$48,296,838","$36,052,901","$59,212,841","$73,057,692"
"Outpatient Services","$36,351,176,990","$693,126,059","$975,321,381","$819,469,249","$475,958,214","$7,933,979,507","$2,677,675,303","$1,593,284,307","$16,872,159","$383,188,967","$366,093,670","$562,980,726","$43,644,907","$557,819,535","$396,569,823","$61,222,574","$703,982,072","$2,992,083","$508,243,867","$48,462,582","$646,524,887","$442,236,372","$1,115,003,968","$624,499,961","$274,708,801","$293,737,226","$1,043,532,247","$502,997,226","$681,452","$260,213,022","$7,987,584","$726,491,277","$124,926,806","$2,740,008,864","$528,293,767","$57,292,869","$439,336,657","$1,572,352,089","$595,057,566","$155,192,620","$36,302,602","$203,373,583","$238,953,257","$142,695,227","$342,079,606","$144,663,674","$117,159,009","$1,341,480,418","$1,995,252,792","$65,754,424","$648,573,247","$102,926,905"
"Prescribed Drugs","$20,251,272,606","$454,092,006","$87,800,841","$379,617,867","$159,033,354","$8,172,249,465","$546,529,603","$751,073,041","-$38,201,163","$89,455,613","$164,919,895","$373,019,764","$3,842,441","$263,609,144","$93,475,052","$11,845,856","$132,519,983","-$768,171","$77,094,307","$77,453,066","$217,030,409","$296,881,624","$174,591,525","$723,689,346","-$228,649,347","-$56,682,017","$660,741,856","$142,682,827","-$192,135","$153,064,585","$7,145,187","$15,876,335","-$15,892,889","$2,317,909,994","$221,063,776","$50,458,872","-$70,213,918","$988,339,456","$188,775,027","-$14,688,499","$4,321,177","$53,417,890","$149,999,420","$743,804,426","$399,998,507","$131,820,412","$110,893,962","$17,196,513","$52,862,663","$285,508,630","$680,431,412","$50,423,616"
"Mental Health Facilities","$6,629,064,124","$69,955,424","$12,490,693","$9,151,941","$17,017,897","$531,022,492","$8,661,638","$148,987,740","$16,640,980","$100,866,653","$2,037,240,823","$17,805,965","$0","$5,753,727","-$29,474,402","$720,019","$111,677,523","$208,219","$65,913,656","$4,961,382","$77,043,318","$369,516,219","$342,710,820","$22,590,902","$190,729,817","$13,968,962","$758,253,292","$22,356,883","$0","$61,842,269","$1,485,901","$194,799,870","$3,770,724","$552,571,910","$599","$14,603,826","$88,572","$385,906,096","$10,687,292","$95,526,409","$6,128,475","$2,843,106","$3,228,540","$130,124,024","$1,379,251","$20,274,380","$52,706,432","$103,957,376","$10,860,407","$8,969,658","$29,192,156","$11,344,268"
"Other Services","$68,003,112,483","$824,212,943","$312,149,578","$644,246,202","$919,220,062","$20,116,450,124","$1,260,013,236","$1,285,250,378","$219,032,098","$242,177,925","$969,860,420","$1,062,734,680","$192,974,580","$346,928,814","$1,655,339,822","$161,336,720","$787,498,448","$120,431,773","$549,247,009","$356,120,024","$859,830,700","$3,163,509,016","$2,743,487,073","$1,078,577,918","$1,421,696,831","$273,776,693","$1,006,552,698","$380,048,820","$82,742,705","$662,495,757","$176,381,869","$1,355,513,022","$268,472,782","$6,762,983,527","$1,787,265,617","$123,275,512","$847,904,457","$571,634,249","$734,335,658","$989,018,671","$268,392,446","$632,127,543","$147,418,343","$1,037,996,050","$2,391,299,810","$385,968,553","$912,418,635","$890,554,803","$2,492,331,367","$59,978,652","$1,427,482,670","$42,415,200"
"Total","$203,514,293,871","$5,117,977,904","$2,014,216,406","$2,663,322,459","$2,958,682,794","$47,040,613,182","$7,442,364,276","$6,083,473,845","$286,738,359","$1,084,524,486","$6,797,505,365","$3,989,381,886","$282,993,705","$2,075,042,436","$4,721,781,390","$366,477,502","$2,817,264,838","$178,078,210","$1,570,269,401","$667,889,095","$2,598,723,306","$5,264,781,017","$7,156,035,531","$3,490,676,476","$2,279,054,553","$1,063,933,695","$5,038,128,306","$1,738,769,351","$90,718,912","$1,890,284,408","$235,535,380","$3,237,590,513","$719,083,454","$18,489,962,357","$4,515,420,196","$417,101,516","$2,111,328,382","$5,918,404,926","$1,898,054,594","$2,101,498,738","$498,484,402","$1,616,256,013","$887,345,970","$2,685,983,437","$10,720,856,514","$1,284,312,887","$1,370,847,713","$5,768,903,464","$5,838,229,740","$581,371,499","$3,444,797,643","$403,221,439"
"Federal Medicaid Disproportionate Share Hospital (DSH) Allotments, FY 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
