KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Northern Mariana Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Puerto Rico: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"United States: US federal minimum FMAP is 50%."
"Virgin Islands:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands:  The Consolidated Appropriations Act, 2023 set the FMAP for American Samoa, Guam, Northern Marianas, and Virgin Islands permanently at 83% and set the FMAP for Puerto Rico at 76% through FY 2027. For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Virgin Islands: For purposes of Section 1118 of the Social Security Act, the percentage used under Titles I, X, XIV, and XVI and Part A of Title IV will be 75%."
"Notes"
"The amount of Federal payments to a State for medical services depends on two factors. The first is the actual amount spent that qualifies as matchable under Medicaid and the FMAP. The *Federal Medical Assistance Percentage (FMAP)* is computed from a formula that takes into account the average per capita income for each State relative to the national average. By law, the FMAP cannot be less than 50%. For more information, please see the KFF policy brief [Medicaid Financing: The Basics](https://www.kff.org/medicaid/issue-brief/medicaid-financing-the-basics/). The *multiplier* is based on the FMAP. For every dollar the state spends on Medicaid, the federal government matches at a rate that varies year to year. For FY 2004, the rate for Alabama was 1:2.80 (73.70%). For information about the multiplier effect of Medicaid spending, see The Kaiser Commission on Medicaid's policy brief released in December 2008, [Role of Medicaid in State Economies: A Look at the Research](https://www.kff.org/medicaid/the-role-of-medicaid-in-state-economies/)."
"Sources"
"KFF estimates of increased FY 2027 FMAPs based on [Federal Register, November 28, 2025 (Vol 90, No. 227), pp 54697-54698](https://www.govinfo.gov/content/pkg/FR-2025-11-28/pdf/2025-21332.pdf). KCMU estimates of the multiplier are based on the FMAP."
"Definitions"
"*Federal Fiscal Year*: FMAPs displayed here apply to the federal fiscal year indicated unless otherwise noted, which runs from October 1 through September 30. For example, FY 2027 refers to the period from October 1, 2026 through September 30, 2027."

"Federal Medicaid Disproportionate Share Hospital (DSH) Allotments"
"Footnotes"
"Alaska: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Arkansas: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Delaware: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Hawaii: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Hawaii: Beginning FY 2013, under section 1923(f)(6)(B)(II) of the Social Security Act, Hawaii's DSH allotment for a fiscal year is determined as for low-DSH states. This means Hawaii's DSH alloment for a fiscal year is determined as for all States, by increasing the previous fiscal year allotment by the percentage increase in the Consumer Price Index for all Urban Consumers (CPIU) for the previous fiscal year."
"Hawaii: Beginning FY 2013, under section 1923(f)(6)(B)(II) of the Social Security Act, Hawaii's DSH allotment for a fiscal year is determined as for low-DSH states. This means Hawaii's DSH alloment for a fiscal year is determined as for all States, by increasing the previous fiscal year allotment by the percentage increase in the Consumer Price Index for all Urban Consumers (CPIU) for the previous fiscal year."
"Hawaii: Beginning FY 2013, under section 1923(f)(6)(B)(II) of the Social Security Act, Hawaii's DSH allotment for a fiscal year is determined as for low-DSH states. This means Hawaii's DSH alloment for a fiscal year is determined as for all States, by increasing the previous fiscal year allotment by the percentage increase in the Consumer Price Index for all Urban Consumers (CPIU) for the previous fiscal year."
"Idaho: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Iowa: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Louisiana: Louisiana's FY 2014 and FY 2015 DSH allotments are determined under the provisions of section 1923(f)(3)(C) and (D) of the Social Security Act."
"Louisiana: Louisiana's FY 2014 and FY 2015 DSH allotments are determined under the provisions of section 1923(f)(3)(C) and (D) of the Social Security Act."
"Minnessota: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Montana: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Nebraska: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"New Mexico: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"North Dakota: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Oklahoma: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Oregon: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"South Dakota: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Tennessee: Tennessee's DSH allotment for FY 2014, determined under section 1923(f)(6)(A) of the Social Security Act, is 0."
"Tennessee: Tennessee's DSH allotment for FY 2015 and FY 2016 is determined under section 1923(f)(6)(A)(vi) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment for FY 2015 and FY 2016 is determined under section 1923(f)(6)(A)(vi) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Tennessee: Tennessee's DSH allotment is determined under section 1923(f)(6)(A) of the Social Security Act."
"Utah: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Vermont: FMAP for Vermont for FY 2014, FY 2015, and FY 2016 is determined in accordance with section 1905(z)(1)(A) of the Social Security Act."
"Vermont: FMAP for Vermont for FY 2014, FY 2015, and FY 2016 is determined in accordance with section 1905(z)(1)(A) of the Social Security Act."
"Vermont: FMAP for Vermont for FY 2014, FY 2015, and FY 2016 is determined in accordance with section 1905(z)(1)(A) of the Social Security Act."
"Wisconsin: ""Low DSH State"": The Medicare Prescription Drug, Improvement, and Modernization Act (MMA) of 2003 (P.L. 108-173) included special provisions in Title X, Section 1001 for the 16 states with DSH expenditures between 0% and 3% of total (state and federal) Medicaid spending in FY 2000, defined as low DSH states. The allotment for these states increased by 16% each year from FY 2004 through FY 2008, but now low DSH and other states recieve the same annual percentage increases to their DSH allotments. "
"Notes"
"FY 2022 and FY 2023 data are preliminary."
"The Families First and Coronavirus Response Act (FFCRA) provided a temporary 6.2 percentage point increase to each state's federal medical assistance percentage (FMAP) during the COVID-19 public health emergency beginning in the second quarter of FY 2020 through the second quarter of FY 2023. This enhanced FMAP then phased down to 5.0 percentage points for the third quarter of FY 2023, and 2.5 percentage points for the fourth quarter of FY 2023."
"The American Rescue Plan Act of 2021 (ARPA) increased DSH allotments to states during the COVID-19 public health emergency. "
"Under the Affordable Care Act (ACA), DSH allotments were slated to be reduced beginning in FY 2014. However, subsequent legislation delayed those reductions until FY 2025."
"Sources"
"[Federal Register, April 14, 2023 (Vol. 88 No. 72), pp. 23066.](https://www.govinfo.gov/content/pkg/FR-2023-04-14/pdf/2023-07927.pdf)"
"Definitions"
"*Disproportionate Share Hospital (DSH)* adjustment payments provide additional help to those hospitals that serve a significantly disproportionate number of low-income patients; eligible hospitals are referred to as DSH hospitals. States receive an annual DSH allotment to cover the costs of DSH hospitals that provide care to low-income patients that are not paid by other payers, such as Medicare, Medicaid, the Children’s Health Insurance Program (CHIP) or other health insurance. This annual allotment is calculated by law and includes requirements to ensure that the DSH payments to individual DSH hospitals are not higher than these actual uncompensated costs. *Federal Fiscal Year*: Unless otherwise noted, years preceded by ""FY"" on [State Health Facts](https://www.kff.org/statedata/) refer to the Federal Fiscal Year, which runs from October 1 through September 30. For example, FY 2018 refers to the period from October 1, 2017 through September 30, 2018. *N/A*: Not applicable."

"Total Medicaid Spending"
"Notes"
"Total Medicaid expenditures do not include administrative costs, accounting adjustments, or the U.S. Territories. Total Medicaid spending including these additional items was $909 billion in FY 2024."
"Sources"
"Estimates based on data downloaded from CMS (Form 64), as of September 2025. "
"Definitions"
"Federal Fiscal Year: Unless otherwise noted, years preceded by ""FY"" refer to the Federal Fiscal Year, which runs from October 1 through September 30. FY 2024 refers to the period from October 1, 2023 through September 30, 2024."

"Federal and State Share of Medicaid Spending"
"Notes"
"Medicaid expenditures do not include administrative costs, accounting adjustments, or the U.S. Territories. Total Medicaid spending including these additional items was approximately $909 billion in FY 2024."
"Sources"
"Estimates based on data downloaded from CMS (Form 64), as of September 2025. "
"Definitions"
"*Federal Fiscal Year*: Federal Fiscal Year: Unless otherwise noted, years preceded by ""FY"" refer to the Federal Fiscal Year, which runs from October 1 through September 30. FY 2024 refers to the period from October 1, 2023 through September 30, 2024."

"Medicaid Spending by Service"
"Notes"
"Medicaid expenditures do not include administrative costs, accounting adjustments, or the U.S. Territories. Total Medicaid spending including these additional items was $909 billion in FY 2024. Data include adjustments to spending in prior years. In some instances where spending is negative or near zero, spending for that service may be captured in another spending category such as managed care. Percentages are replaced with ""N/A"" for states with negative spending. "
"Sources"
"Estimates based on data downloaded from CMS (Form 64), as of September 2025. "
"Definitions"
"*Fee-for-Service Acute care* services include payments for inpatient, physician, lab, X-ray, outpatient, clinic, prescription drugs, family planning, dental, vision, mental health, and other practitioners' care. *Fee-for-Service Long-term care* services include payments for nursing facilities, intermediate care facilities for the intellectually disabled, home health services, and personal care support services. *Payments to Medicare* are primarily premiums paid by Medicaid for Medicare enrollees. Medicaid may also pay Medicare cost-sharing for some individuals, but these amounts typically should be reported as payments for other services (e.g., ""Inpatient Hospital""). *Managed Care & Health Plans* includes payments to health maintenance organizations (HMOs), prepaid health plans (PHPs), and other health plans, as well as primary care case management (PCCM) fees. *DSH* refers to disproportionate share hospital payments. *Federal Fiscal Year*: Unless otherwise noted, years preceded by ""FY"" refer to the Federal Fiscal Year, which runs from October 1 through September 30. FY 2024 refers to the period from October 1, 2023 through September 30, 2024."

"Medicaid Spending on Long Term Care, Fee-for-Service"
"Notes"
"This table shows fee-for-service LTC spending only. States with noticeably small spending may have sizeable portions of their Medicaid population enrolled in managed care. All spending includes state and federal expenditures. Expenditures do not include administrative costs, accounting adjustments, or expenditures in the U.S. territories. Data include adjustments to spending in prior years. In some instances where spending is negative or near zero, spending for that service may be captured in another spending category such as managed care. Percentages are replaced with ""N/A"" for states with negative spending."
"Sources"
"Estimates based on data downloaded from CMS (Form 64), as of September 2025. "
"Definitions"
"*ICF-ID* stands for intermediate care facility for the intellectually disabled. *Home Health and Personal Care* includes standard home health services, personal care, home and community-based care for the functionally disabled elderly, and services provided under home and community-based services waivers. *Federal Fiscal Year*: Unless otherwise noted, years preceded by ""FY"" refer to the Federal Fiscal Year, which runs from October 1 through September 30. FY 2024 refers to the period from October 1, 2023 through September 30, 2024. "

"Medicaid Spending on Acute Care, Fee-for-Service"
"Notes"
"This table shows fee-for-service acute care spending only. Medicaid expenditures presented here do not include administrative costs, accounting adjustments, or data for the U.S. territories. Data include adjustments to spending in prior years. In some instances where spending is negative or near zero, spending for that service may be captured in another spending category such as managed care. Percentages are replaced with ""N/A"" for states with negative spending."
"Sources"
"Estimates based on data downloaded from CMS (Form 64), as of September 2025. "
"Definitions"
"*Outpatient Services* includes outpatient hospital and clinic services, as well as payments made to rural health clinics and federally qualified health centers (FQHCs). *Mental Health* includes mental health facility services, community based mobile crisis services and certified community behavior health clinics *Other Services* include dental, other practitioners, abortion, sterilization, transportation, targeted case management, physical and occupational therapy, hospice, services for individuals with speech, hearing and language disorders, emergency services for undocumented aliens, health home with chronic conditions, nurse mid-wife, nurse practitioner services, private duty nursing, case management- state wide, EPSDT, programs of all-inclusive care for the elderly (PACE), dentures, eyeglasses, prosthetic devices, freestanding birth center, tobacco cessation for pregnant women, other diagnostic and rehabilitative services (including EPSDT), school based services, and other uncategorized services. *Federal Fiscal Year*: Unless otherwise noted, years preceded by ""FY"" refer to the Federal Fiscal Year, which runs from October 1 through September 30. FY 2024 refers to the period from October 1, 2023 through September 30, 2024."

"Total SSDI Beneficiaries and SSI Beneficiaries, Under Age 65"
"Footnotes"
"United States: An additional 38,357 children under age 18 and students aged 18–19 received SSI and SSDI in the U.S."
"Notes"
"SSDI and SSI beneficiaries are reported as of December in the year specified. SSDI beneficiaries include disabled workers, widowers, and adult children. To be eligible for the Social Security Disability Insurance Program, a person must be insured for benefits, be younger than full retirement age, have filed an application for benefits, and have a Social Security-defined disability. To be eligible for the Supplemental Security Income Program, a person must be age 65 or older, blind, or disabled, and have limited income, limited resources, have filed an application for benefits, and met certain other requirements. The total number of SSDI and SSI beneficiaries is calculated as a sum of the state data and excludes United States territories and foreign countries.    Population numbers are rounded to the nearest 100."
"Sources"
"Social Security Administration, <a href=""https://www.ssa.gov/policy/docs/statcomps/di_asr/index.html"">Annual Statistical Report on the Social Security Disability Insurance Program</a>, 2022 (Table 9). Social Security Administration, <a href=""https://www.ssa.gov/policy/docs/statcomps/ssi_asr/index.html"">Annual Statistical Report on the Supplemental Security Income Program</a>, 2022 (Tables 10 and 16). "
"Definitions"
