GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
05,Arkansas,AR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,51.14719924088823
06,California,CA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.52903520641653
08,Colorado,CO,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.91305543921408
09,Connecticut,CT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,38.10573327730479
10,Delaware,DE,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.01295642658631
11,District of Columbia,DC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.162021786240075
12,Florida,FL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.598510609192324
13,Georgia,GA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.27487306817426
15,Hawaii,HI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,55.434635386955506
16,Idaho,ID,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.2773750224069
17,Illinois,IL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.10511259259348
18,Indiana,IN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.399178303141866
19,Iowa,IA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,31.170311997827575
20,Kansas,KS,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,35.26721123851997
21,Kentucky,KY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,46.01603731439998
22,Louisiana,LA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.79299632595211
23,Maine,ME,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,40.07929369126896
24,Maryland,MD,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.82063397117804
25,Massachusetts,MA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.441392275321164
26,Michigan,MI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.19940392807011
27,Minnesota,MN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,35.85256455009247
28,Mississippi,MS,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,54.968423990053644
29,Missouri,MO,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,40.95858618686198
30,Montana,MT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,46.44915913127315
31,Nebraska,NE,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,36.79398122990882
32,Nevada,NV,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,58.87639263635691
33,New Hampshire,NH,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,35.02080631682226
34,New Jersey,NJ,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.957181323476824
35,New Mexico,NM,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.07580445037132
36,New York,NY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,45.11773483235022
37,North Carolina,NC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.11356546784441
38,North Dakota,ND,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,38.78850946728241
39,Ohio,OH,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,42.471819792872054
40,Oklahoma,OK,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.20844405214415
41,Oregon,OR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.413392744086465
42,Pennsylvania,PA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,45.11220856318662
44,Rhode Island,RI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,45.95001881943842
45,South Carolina,SC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,60.60491407486921
46,South Dakota,SD,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,37.91878736597989
47,Tennessee,TN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.797345652223385
48,Texas,TX,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,54.92141010956769
49,Utah,UT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.32707763462708
50,Vermont,VT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.3788535371425
